date,time_delta,confirmed_cases,confirmed_deaths
2020-02-05,0,10,0
2020-02-06,1,20,0
2020-02-07,2,61,0
2020-02-08,3,64,0
2020-02-09,4,64,0
2020-02-10,5,70,0
2020-02-11,6,135,0
2020-02-12,7,175,0
2020-02-13,8,174,0
2020-02-14,9,218,0
2020-02-15,10,218,0
2020-02-16,11,355,0
2020-02-17,12,454,0
2020-02-18,13,454,0
2020-02-19,14,542,0
2020-02-20,15,621,2
2020-02-21,16,634,2
2020-02-22,17,634,2
2020-02-23,18,634,2
2020-02-24,19,695,3
2020-02-25,20,691,3
2020-02-26,21,691,3
2020-02-27,22,705,4
2020-02-28,23,705,4
2020-02-29,24,705,6
2020-03-01,25,705,6
2020-03-02,26,706,6
2020-03-03,27,706,6
2020-03-04,28,706,6
2020-03-05,29,706,6
2020-03-06,30,696,6
2020-03-07,31,696,6
2020-03-08,32,696,7
2020-03-09,33,696,7
2020-03-10,34,696,7
2020-03-11,35,696,7
2020-03-12,36,696,7
2020-03-13,37,696,7
2020-03-14,38,697,7
2020-03-15,39,697,7
2020-03-16,40,712,7
2020-03-17,41,712,7
2020-03-18,42,712,7
