gamma,R_0,delta,t_start,v_tot,alpha,N,prob_ext
0.05,1.2,0.002,20.0,0.2,0.01,10000,0.8
0.05,1.2,0.002,20.0,0.20000000000000004,0.020000000000000004,10000,1.0
0.05,1.2,0.002,20.0,0.19999999999999996,0.030000000000000006,10000,0.6
0.05,1.2,0.002,20.0,0.20000000000000004,0.04000000000000001,10000,0.8
0.05,1.2,0.002,20.0,0.20000000000000004,0.05000000000000001,10000,1.0
0.05,1.2,0.002,20.0,0.19999999999999996,0.06000000000000001,10000,1.0
0.05,1.2,0.002,20.0,0.20000000000000007,0.07,10000,1.0
0.05,1.2,0.002,20.0,0.2,0.08,10000,1.0
0.05,1.2,0.002,20.0,0.19999999999999996,0.09000000000000001,10000,1.0
0.05,1.2,0.002,20.0,0.2,0.1,10000,0.8
0.05,1.2,0.002,20.0,0.4,0.01,10000,1.0
0.05,1.2,0.002,20.0,0.4000000000000001,0.020000000000000004,10000,1.0
0.05,1.2,0.002,20.0,0.3999999999999999,0.030000000000000006,10000,1.0
0.05,1.2,0.002,20.0,0.4000000000000001,0.04000000000000001,10000,1.0
0.05,1.2,0.002,20.0,0.4000000000000001,0.05000000000000001,10000,1.0
0.05,1.2,0.002,20.0,0.3999999999999999,0.06000000000000001,10000,0.8
0.05,1.2,0.002,20.0,0.40000000000000013,0.07,10000,1.0
0.05,1.2,0.002,20.0,0.4,0.08,10000,1.0
0.05,1.2,0.002,20.0,0.3999999999999999,0.09000000000000001,10000,1.0
0.05,1.2,0.002,20.0,0.4,0.1,10000,1.0
0.05,1.2,0.002,20.0,0.6,0.01,10000,1.0
0.05,1.2,0.002,20.0,0.6000000000000001,0.020000000000000004,10000,1.0
0.05,1.2,0.002,20.0,0.6000000000000001,0.030000000000000006,10000,1.0
0.05,1.2,0.002,20.0,0.6000000000000001,0.04000000000000001,10000,1.0
0.05,1.2,0.002,20.0,0.6000000000000001,0.05000000000000001,10000,1.0
0.05,1.2,0.002,20.0,0.6000000000000001,0.06000000000000001,10000,1.0
0.05,1.2,0.002,20.0,0.5999999999999999,0.07,10000,1.0
0.05,1.2,0.002,20.0,0.6,0.08,10000,1.0
0.05,1.2,0.002,20.0,0.6000000000000002,0.09000000000000001,10000,1.0
0.05,1.2,0.002,20.0,0.6000000000000001,0.1,10000,1.0
0.05,1.2,0.002,20.0,0.8,0.01,10000,1.0
